rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1996,6,5,12,KuetEffervescent
2,1766,6,5,28,KUET_FALCONS
3,1698,6,5,24,KUET_Blaziken
4,1689,6,5,7,KUET_BreakDown
5,1584,3,5,-6,KUET_Sisyphus
6,1541,6,5,16,KUET_BUGMAN
7,1535,6,5,36,KUET_Musashis
8,1383,3,5,-16,trinityRaven
9,1374,1,4,1374,KUET_RANGERS
10,1349,3,5,109,ShowStoppers
11,1345,2,4,247,KUET_Crusaders
12,1341,2,4,3,KUET_Desperados
13,1340,3,5,11,KUET_Mayhem
14,1257,6,5,-33,Team_Phoenix
15,1252,1,2,1252,Team_Blackburn
16,1227,2,5,173,KUET_Valkyries
17,1114,3,5,61,KUET_LAZYCODERS
18,1051,1,2,1051,Loop_Breakers
19,1021,1,4,1021,KUET_Phantoms
20,982,1,4,982,kuet_101
21,946,1,1,946,KUET_EXPLORERS
22,938,1,3,938,KUET_Yeti
