rank,display_rating,max_rating,cur_mu,cur_sigma,num_contests,last_contest_index,last_contest_time,last_perf,last_change,handle
1,1964,1964,1922,66,4,3,1275577200,1957,34,KuetEffervescent
2,1716,1716,1674,66,4,3,1275577200,1770,62,KUET_BreakDown
3,1699,1702,1657,66,4,3,1275577200,1608,-3,KUET_FALCONS
4,1633,1633,1591,66,4,3,1275577200,1674,67,KUET_Blaziken
5,1516,1516,1630,118,1,3,1275577200,1640,1516,KUET_Sisyphus
6,1481,1501,1439,66,4,3,1275577200,1312,-20,KUET_Musashis
7,1447,1447,1405,66,4,3,1275577200,1497,56,KUET_BUGMAN
8,1358,1358,1472,118,1,3,1275577200,1470,1358,KUET_Mayhem
9,1330,1330,1444,118,1,3,1275577200,1440,1330,KUET_Desperados
10,1273,1273,1387,118,1,1,1275577200,1379,1273,trinityRaven
11,1246,1246,1204,66,4,3,1275577200,1336,67,Team_Phoenix
12,1231,1231,1345,118,1,2,1275577200,1333,1231,Team_Blackburn
13,1090,1090,1204,118,1,3,1275577200,1181,1090,KUET_Crusaders
14,1043,1043,1157,118,1,2,1275577200,1130,1043,Loop_Breakers
15,1027,1027,1141,118,1,3,1275577200,1114,1027,KUET_LAZYCODERS
16,951,951,1065,118,1,2,1275577200,1031,951,ShowStoppers
17,946,946,1060,118,1,1,1275577200,1025,946,KUET_EXPLORERS
18,934,934,1048,118,1,3,1275577200,1012,934,KUET_Yeti
